#           k/h    P           
   0.839028E+02   0.737925E-03
   0.855978E+02   0.698375E-03
   0.873269E+02   0.660926E-03
   0.890911E+02   0.625468E-03
   0.908908E+02   0.591896E-03
   0.927270E+02   0.560110E-03
   0.946001E+02   0.530016E-03
   0.965112E+02   0.501526E-03
   0.984608E+02   0.474553E-03
   0.100450E+03   0.449019E-03
   0.102479E+03   0.424847E-03
   0.104549E+03   0.401965E-03
   0.106661E+03   0.380304E-03
   0.108816E+03   0.359801E-03
   0.111014E+03   0.340394E-03
   0.113257E+03   0.322024E-03
   0.115545E+03   0.304636E-03
   0.117879E+03   0.288178E-03
   0.120260E+03   0.272599E-03
   0.122690E+03   0.257854E-03
   0.125168E+03   0.243896E-03
   0.127697E+03   0.230684E-03
   0.130277E+03   0.218179E-03
   0.132908E+03   0.206342E-03
   0.135593E+03   0.195138E-03
   0.138332E+03   0.184534E-03
   0.141127E+03   0.174496E-03
   0.143978E+03   0.164996E-03
   0.146886E+03   0.156004E-03
   0.149854E+03   0.147494E-03
   0.152881E+03   0.139440E-03
   0.155969E+03   0.131817E-03
   0.159120E+03   0.124604E-03
   0.162334E+03   0.117779E-03
   0.165614E+03   0.111323E-03
   0.168960E+03   0.105216E-03
   0.172373E+03   0.994395E-04
   0.175855E+03   0.939766E-04
   0.179407E+03   0.888108E-04
   0.183032E+03   0.839265E-04
   0.186729E+03   0.793086E-04
   0.190501E+03   0.749431E-04
   0.194350E+03   0.708166E-04
   0.198276E+03   0.669163E-04
   0.202281E+03   0.632302E-04
   0.206368E+03   0.597466E-04
